北京,现代财产保险（中国）有限公司,本科,3-5年,朝阳区,15k-25k
深圳,深圳前海微众银行股份有限公司,本科,3-5年,南山区,15k-25k
深圳,贝壳找房（深圳）科技有限公司,大专,不限,福田区,8k-16k
北京,度小满科技（北京）有限公司,本科,1-3年,海淀区,10k-20k
北京,北京英之玖信息技术服务有限公司,大专,1-3年,海淀区,15k-25k
深圳,平安科技（深圳）有限公司,本科,5-10年,福田区,15k-25k
上海,上海陆家嘴国际金融资产交易市场股份有限公司,本科,1-3年,浦东新区,10k-15k
上海,上海陆家嘴国际金融资产交易市场股份有限公司,硕士,1-3年,浦东新区,15k-23k
深圳,深圳市时代创想广告有限公司,大专,1-3年,龙华新区,15k-20k
广州,广东三维家信息科技有限公司,本科,3-5年,天河区,10k-20k
广州,广东三维家信息科技有限公司,本科,3-5年,天河区,14k-25k
杭州,浙江元旨科技有限公司,不限,1-3年,滨江区,6k-8k
城市,公司名称,学历,任职要求,区域,金额
广州,广州博依特智能信息科技有限公司,本科,3-5年,黄埔区,10k-20k
上海,上海陆家嘴国际金融资产交易市场股份有限公司,本科,3-5年,浦东新区,12k-17k
深圳,深圳市时代创想广告有限公司,大专,1-3年,龙华新区,15k-20k
北京,北京欧应信息技术有限公司,本科,3-5年,朝阳区,15k-30k
北京,北京默契破冰科技有限公司,本科,3-5年,东城区,15k-30k
北京,北京默契破冰科技有限公司,本科,1-3年,东城区,10k-20k
深圳,盈嘉互联（北京）科技有限公司,本科,3-5年,福田区,15k-30k
成都,盈嘉互联（北京）科技有限公司,本科,3-5年,双流县,13k-25k
上海,虎扑（上海）文化传播股份有限公司,本科,3-5年,虹口区,12k-20k
深圳,深圳进门财经科技股份有限公司,本科,3-5年,南山区,15k-30k
深圳,深圳进门财经科技股份有限公司,本科,3-5年,南山区,15k-30k
深圳,深圳格隆汇信息科技有限公司,本科,1-3年,南山区,8k-16k
杭州,杭州一骑轻尘信息技术有限公司,大专,3-5年,余杭区,10k-20k
杭州,浙江元旨科技有限公司,不限,1-3年,滨江区,6k-8k
北京,北京必示科技有限公司,本科,5-10年,海淀区,30k-60k
城市,公司名称,学历,任职要求,区域,金额
广州,广州博依特智能信息科技有限公司,本科,3-5年,黄埔区,10k-20k
深圳,深圳市时代创想广告有限公司,大专,1-3年,龙华新区,15k-20k
深圳,深圳进门财经科技股份有限公司,本科,3-5年,南山区,15k-30k
深圳,深圳进门财经科技股份有限公司,本科,3-5年,南山区,15k-30k
杭州,杭州一骑轻尘信息技术有限公司,大专,3-5年,余杭区,10k-20k
上海,波克科技股份有限公司,本科,1年以下,普陀区,10k-15k
深圳,腾讯科技（深圳）有限公司,本科,3-5年,南山区,15k-30k
